ID,Level,German,English,CEFR
0192,2,Detail,detail,B2
0193,2,detailliert,detailed,B2
0194,2,erkennen,detect,B2
0195,2,graben,dig,B2
0196,2,Scheibe,disc,B2
0197,2,Disziplin,discipline,B2
0198,2,Rabatt,discount,B2
0199,2,unehrlich,dishonest,B2
0200,2,zurückweisen,dismiss,B2
0201,3,Anzeige,display,B2
0202,3,verteilen,distribute,B2
0203,3,Verteilung,distribution,B2
0204,3,Bezirk,district,B2
0205,3,teilen,divide,B2
0206,3,Division,division,B2
0207,3,dokumentieren,document,B2
0208,3,inländisch,domestic,B2
0209,3,dominieren,dominate,B2
0210,3,nach unten,downwards,B2
0211,3,Dutzend,dozen,B2
0212,3,Entwurf,draft,B2
0213,3,ziehen,drag,B2
0214,3,dramatisch,dramatic,B2
0215,3,bearbeiten,edit,B2
0216,3,Ausgabe,edition,B2
0217,3,effizient,efficient,B2
0218,3,ältere Menschen,elderly,B2
0219,3,wählen,elect,B2
0220,3,anderswo,elsewhere,B2
0221,3,auftauchen,emerge,B2
0222,3,emotional,emotional,B2
0223,3,Schwerpunkt,emphasis,B2
0224,3,betonen,emphasize,B2
0225,3,aktivieren,enable,B2
0226,3,begegnen,encounter,B2
0227,3,engagieren,engage,B2
0228,3,erweitern,enhance,B2
0229,3,Anfrage,enquiry,B2
0230,3,sicherstellen,ensure,B2
0231,3,Begeisterung,enthusiasm,B2
0232,3,enthusiastisch,enthusiastic,B2
0233,3,gesamte,entire,B2
0234,3,vollständig,entirely,B2
0235,3,gleich,equal,B2
0236,3,gründen,establish,B2
0237,3,Anwesen,estate,B2
0238,3,schätzen,estimate,B2
0239,3,ethisch,ethical,B2
0240,3,auswerten,evaluate,B2
0241,3,sogar,even,B2
0242,3,teuflisch,evil,B2
0243,3,Prüfung,examination,B2
0244,3,Entschuldigung,excuse,B2
0245,3,Exekutive,executive,B2
0246,3,Existenz,existence,B2
0247,3,Erwartung,expectation,B2
0248,3,Aufwand,expense,B2
0249,3,Erforschung,exploration,B2
0250,3,exponieren,expose,B2
0251,3,verlängern,extend,B2
0252,3,Ausmaß,extent,B2
0253,3,extern,external,B2
0254,3,außergewöhnlich,extraordinary,B2
0255,3,extrem,extreme,B2
0256,3,Einrichtung,facility,B2
0257,3,Versagen,failure,B2
0258,3,Glaube,faith,B2
0259,3,Fehler,fault,B2
0260,3,favorisieren,favour,B2
0261,3,Feder,feather,B2
0262,3,Gebühr,fee,B2
0263,3,füttern,feed,B2
0264,3,Rückmeldung,feedback,B2
0265,3,fühlen,feel,B2
0266,3,Gefährte,fellow,B2
0267,3,Abbildung,igure,B2
0268,3,ile,ile,B2
0269,3,Finanzen,inance,B2
0270,3,inding,inding,B2
0271,3,irm,irm,B2
0272,3,ix,ix,B2
0273,3,lahm,lame,B2
0274,3,Peitsche,lash,B2
0275,3,lexibel,lexible,B2
0276,3,loat,loat,B2
0277,3,falten,fold,B2
0278,3,falten,folding,B2
0279,3,folgende,following,B2
0280,3,verzeihen,forgive,B2
0281,3,ehemalig,former,B2
0282,3,Vermögen,fortune,B2
0283,3,nach vorne,forward,B2
0284,3,gefunden,found,B2
0285,3,frei,free,B2
0286,3,Freiheit,freedom,B2
0287,3,Frequenz,frequency,B2
0288,3,Kraftstoff,fuel,B2
0289,3,voll,fully,B2
0290,3,Funktion,function,B2
0291,3,Fonds,fund,B2
0292,3,grundlegend,fundamental,B2
0293,3,Finanzierung,funding,B2
0294,3,Außerdem,furthermore,B2
0295,3,gewinnen,gain,B2
0296,3,Gang,gang,B2
0297,3,erzeugen,generate,B2
0298,3,Genre,genre,B2
0299,3,regieren,govern,B2
0300,3,greifen,grab,B2
0301,4,Grad,grade,B2
0302,4,schrittweise,gradually,B2
0303,4,großartig,grand,B2
0304,4,gewähren,grant,B2
0305,4,Garantie,guarantee,B2
0306,4,handhaben,handle,B2
0307,4,Schaden,harm,B2
0308,4,schädlich,harmful,B2
0309,4,Anhörung,hearing,B2
0310,4,Himmel,heaven,B2
0311,4,Ferse,heel,B2
0312,4,Hölle,hell,B2
0313,4,zögern,hesitate,B2
0314,4,hoch,high,B2
0315,4,mieten,hire,B2
0316,4,halten,hold,B2
0317,4,hohl,hollow,B2
0318,4,heilig,holy,B2
0319,4,Ehre,honour,B2
0320,4,Gastgeber,host,B2
0321,4,Haus,house,B2
0322,4,Haushalt,household,B2
0323,4,Gehäuse,housing,B2
0324,4,humorvoll,humorous,B2
0325,4,Humor,humour,B2
0326,4,Jagd,hunt,B2
0327,4,Jagd,hunting,B2
0328,4,verletzt,hurt,B2
0329,4,Ideal,ideal,B2
0330,4,veranschaulichen,illustrate,B2
0331,4,Illustration,illustration,B2
0332,4,Vorstellung,imagination,B2
0333,4,ungeduldig,impatient,B2
0334,4,implizieren,imply,B2
0335,4,auferlegen,impose,B2
0336,4,beeindrucken,impress,B2
0337,4,beeindruckt,impressed,B2
0338,4,Zoll,inch,B2
0339,4,Vorfall,incident,B2
0340,4,Einkommen,income,B2
0341,4,zunehmend,increasingly,B2
0342,4,industriell,industrial,B2
0343,4,Infektion,infection,B2
0344,4,informieren,inform,B2
0345,4,anfänglich,initial,B2
0346,4,anfänglich,initially,B2
0347,4,Initiative,initiative,B2
0348,4,innere,inner,B2
0349,4,Einblick,insight,B2
0350,4,pochen,insist,B2
0351,4,inspirieren,inspire,B2
0352,4,installieren,install,B2
0353,4,Beispiel,instance,B2
0354,4,Institut,institute,B2
0355,4,Institution,institution,B2
0356,4,Versicherung,insurance,B2
0357,4,beabsichtigt,intended,B2
0358,4,intensiv,intense,B2
0359,4,intern,internal,B2
0360,4,interpretieren,interpret,B2
0361,4,unterbrechen,interrupt,B2
0362,4,Untersuchung,investigation,B2
0363,4,Investition,investment,B2
0364,4,Ausgabe,issue,B2
0365,4,Freude,joy,B2
0366,4,Urteil,judgement,B2
0367,4,Junior-,junior,B2
0368,4,Gerechtigkeit,justice,B2
0369,4,rechtfertigen,justify,B2
0370,4,Arbeit,labour,B2
0371,4,Landschaft,landscape,B2
0372,4,weitgehend,largely,B2
0373,4,letzte,latest,B2
0374,4,Start,launch,B2
0375,4,Führung,leadership,B2
0376,4,Liga,league,B2
0377,4,mager,lean,B2
0378,4,verlassen,leave,B2
0379,4,Ebene,level,B2
0380,4,Lizenz,licence,B2
0381,4,beschränkt,limited,B2
0382,4,Linie,line,B2
0383,4,lebhaft,lively,B2
0384,4,laden,load,B2
0385,4,Darlehen,loan,B2
0386,4,logisch,logical,B2
0387,4,langfristig,long-term,B2
0388,4,lose,loose,B2
0389,4,Herr,lord,B2
0390,4,niedrig,low,B2
0391,4,untere,lower,B2
0392,4,Lunge,lung,B2
0393,4,pflegen,maintain,B2
0394,4,mehrheitlich,majority,B2
0395,4,machen,make,B2
0396,4,Karte,map,B2
0397,4,Masse,mass,B2
0398,4,massiv,massive,B2
0399,4,Master,master,B2
0400,4,passend,matching,B2
0401,5,Material,material,B2
0402,5,maximal,maximum,B2
0403,5,bedeutet,means,B2
0404,5,Messung,measurement,B2
0405,5,Medium,medium,B2
0406,5,schmelzen,melt,B2
0407,5,Militär,military,B2
0408,5,Mineral,mineral,B2
0409,5,Minimum,minimum,B2
0410,5,Minister,minister,B2
0411,5,unerheblich,minor,B2
0412,5,Minderheit,minority,B2
0413,5,Mission,mission,B2
0414,5,Fehler,mistake,B2
0415,5,gemischt,mixed,B2
0416,5,Modell,model,B2
0417,5,ändern,modify,B2
0418,5,Monitor,monitor,B2
0419,5,Moral,moral,B2
0420,5,Motor,motor,B2
0421,5,montieren,mount,B2
0422,5,mehrere,multiple,B2
0423,5,multiplizieren,multiply,B2
0424,5,geheimnisvoll,mysterious,B2
0425,5,eng,narrow,B2
0426,5,national,national,B2
0427,5,sauber,neat,B2
0428,5,Negativ,negative,B2
0429,5,Nerv,nerve,B2
0430,5,Trotzdem,nevertheless,B2
0431,5,Alptraum,nightmare,B2
0432,5,Vorstellung,notion,B2
0433,5,zahlreich,numerous,B2
0434,5,gehorchen,obey,B2
0435,5,Objekt,object,B2
0436,5,Objektiv,objective,B2
0437,5,Verpflichtung,obligation,B2
0438,5,Beobachtung,observation,B2
0439,5,beobachten,observe,B2
0440,5,erhalten,obtain,B2
0441,5,gelegentlich,occasionally,B2
0442,5,Angriff,offence,B2
0443,5,beleidigen,offend,B2
0444,5,Offensive,offensive,B2
0445,5,offiziell,official,B2
0446,5,Öffnung,opening,B2
0447,5,arbeiten,operate,B2
0448,5,Gegner,opponent,B2
0449,5,ablehnen,oppose,B2
0450,5,dagegen,opposed,B2
0451,5,Opposition,opposition,B2
0452,5,Orgel,organ,B2
0453,5,Herkunft,origin,B2
0454,5,ansonsten,otherwise,B2
0455,5,Ergebnis,outcome,B2
0456,5,äußere,outer,B2
0457,5,Gliederung,outline,B2
0458,5,gesamt,overall,B2
0459,5,verdanken,owe,B2
0460,5,Tempo,pace,B2
0461,5,Paket,package,B2
0462,5,Panel,panel,B2
0463,5,Parlament,parliament,B2
0464,5,Teilnehmer,participant,B2
0465,5,teilweise,partly,B2
0466,5,Passage,passage,B2
0467,5,geduldig,patient,B2
0468,5,Rente1,pension1,B2
0469,5,dauerhaft,permanent,B2
0470,5,erlauben,permit,B2
0471,5,Perspektive,perspective,B2
0472,5,Phase,phase,B2
0473,5,Phänomen,phenomenon,B2
0474,5,Philosophie,philosophy,B2
0475,5,wählen,pick,B2
0476,5,Bild,picture,B2
0477,5,Stapel,pile,B2
0478,5,Tonhöhe,pitch,B2
0479,5,schmucklos,plain,B2
0480,5,Handlung,plot,B2
0481,5,plus1,plus1,B2
0482,5,spitz,pointed,B2
0483,5,Popularität,popularity,B2
0484,5,Pose,pose,B2
0485,5,Position,position,B2
0486,5,positiv,positive,B2
0487,5,besitzen,possess,B2
0488,5,Potenzial,potential,B2
0489,5,Leistung,power,B2
0490,5,Lob,praise,B2
0491,5,schwanger,pregnant,B2
0492,5,Vorbereitung,preparation,B2
0493,5,Gegenwart,presence,B2
0494,5,bewahren,preserve,B2
0495,5,Preis,price,B2
0496,5,Primzahl,prime,B2
0497,5,Prinzip,principle,B2
0498,5,drucken,print,B2
0499,5,Priorität,priority,B2
0500,5,Privatsphäre,privacy,B2
0501,6,Verfahren,procedure,B2
0502,6,Verfahren,process,B2
0503,6,produzieren,produce,B2
0504,6,Professional,professional,B2
0505,6,Fortschritt,progress,B2
0506,6,Projekt,project,B2
0507,6,nachweisen,proof,B2
0508,6,Vorschlag,proposal,B2
0509,6,vorschlagen,propose,B2
0510,6,Aussicht,prospect,B2
0511,6,Schutz,protection,B2
0512,6,Psychologe,psychologist,B2
0513,6,Psychologie,psychology,B2
0514,6,Veröffentlichung,publication,B2
0515,6,Schüler,pupil,B2
0516,6,kaufen,purchase,B2
0517,6,rein,pure,B2
0518,6,verfolgen,pursue,B2
0519,6,Reichweite,range,B2
0520,6,Rang,rank,B2
0521,6,schnell,rapid,B2
0522,6,schnell,rapidly,B2
0523,6,Rate,rate,B2
0524,6,roh,raw,B2
0525,6,erreichen,reach,B2
0526,6,realistisch,realistic,B2
0527,6,vernünftig,reasonable,B2
0528,6,abrufen,recall,B2
0529,6,genesen,recover,B2
0530,6,Reduktion,reduction,B2
0531,6,betrachten,regard,B2
0532,6,regional,regional,B2
0533,6,registrieren,register,B2
0534,6,Reue,regret,B2
0535,6,Verordnung,regulation,B2
0536,6,relativ,relatively,B2
0537,6,relevant,relevant,B2
0538,6,Erleichterung,relief,B2
0539,6,verlassen,rely,B2
0540,6,Bemerkung,remark,B2
0541,6,Vertreter,representative,B2
0542,6,Ruf,reputation,B2
0543,6,Erfordernis,requirement,B2
0544,6,Rettung,rescue,B2
0545,6,reservieren,reserve,B2
0546,6,Einwohner,resident,B2
0547,6,widerstehen,resist,B2
0548,6,lösen,resolve,B2
0549,6,Resort,resort,B2
0550,6,zurückbehalten,retain,B2
0551,6,aufdecken,reveal,B2
0552,6,Revolution,revolution,B2
0553,6,belohnen,reward,B2
0554,6,Rhythmus,rhythm,B2
0555,6,loswerden,rid,B2
0556,6,Wurzel,root,B2
0557,6,runden,round,B2
0558,6,Routine,routine,B2
0559,6,reiben,rub,B2
0560,6,Gummi,rubber,B2
0561,6,ländlich,rural,B2
0562,6,eilen,rush,B2
0563,6,Probe,sample,B2
0564,6,Satellit,satellite,B2
0565,6,befriedigt,satisfied,B2
0566,6,erfüllen,satisfy,B2
0567,6,sparen,saving,B2
0568,6,Skala,scale,B2
0569,6,Zeitplan,schedule,B2
0570,6,Schema,scheme,B2
0571,6,schreien,scream,B2
0572,6,Bildschirm,screen,B2
0573,6,Sitz,seat,B2
0574,6,Sektor,sector,B2
0575,6,sicher,secure,B2
0576,6,suchen,seek,B2
0577,6,wählen,select,B2
0578,6,Auswahl,selection,B2
0579,6,selbst,self,B2
0580,6,Senior,senior,B2
0581,6,Sinn,sense,B2
0582,6,empfindlich,sensitive,B2
0583,6,Satz,sentence,B2
0584,6,Sequenz,sequence,B2
0585,6,Sitzung,session,B2
0586,6,siedeln,settle,B2
0587,6,schwer,severe,B2
0588,6,Schatten,shade,B2
0589,6,Schatten,shadow,B2
0590,6,seicht,shallow,B2
0591,6,Scham,shame,B2
0592,6,Form,shape,B2
0593,6,Unterschlupf,shelter,B2
0594,6,Schicht,shift,B2
0595,6,Schiff,ship,B2
0596,6,Schock,shock,B2
0597,6,schockiert,shocked,B2
0598,6,Schießen,shooting,B2
0599,6,Schuss,shot,B2
0600,6,bedeutsam,significant,B2
0601,7,deutlich,significantly,B2
0602,7,Schweigen,silence,B2
0603,7,Seide,silk,B2
0604,7,aufrichtig,sincere,B2
0605,7,Sklave,slave,B2
0606,7,gleiten,slide,B2
0607,7,leicht,slight,B2
0608,7,Beleg,slip,B2
0609,7,Neigung,slope,B2
0610,7,Solar-,solar,B2
0611,7,etwas,somewhat,B2
0612,7,Seele,soul,B2
0613,7,Spezialist,specialist,B2
0614,7,Spezies,species,B2
0615,7,Geschwindigkeit,speed,B2
0616,7,spirituell,spiritual,B2
0617,7,Teilt,split,B2
0618,7,Sponsor,sponsor,B2
0619,7,Stelle,spot,B2
0620,7,verbreiten,spread,B2
0621,7,stabil,stable,B2
0622,7,Bühne,stage,B2
0623,7,Stand,stand,B2
0624,7,starren,stare,B2
0625,7,Status,status,B2
0626,7,stetig,steady,B2
0627,7,Stahl,steel,B2
0628,7,steil,steep,B2
0629,7,Schritt,step,B2
0630,7,klebrig,sticky,B2
0631,7,steif,stiff,B2
0632,7,Aktie,stock,B2
0633,7,Gefahr,threat,B2
0634,7,Strom,stream,B2
0635,7,strecken,stretch,B2
0636,7,strikt,strict,B2
0637,7,schlagen,strike,B2
0638,7,Struktur,structure,B2
0639,7,Kampf,struggle,B2
0640,7,Sachen,stuff,B2
0641,7,Thema,subject,B2
0642,7,einreichen,submit,B2
0643,7,Summe,sum,B2
0644,7,Operation,surgery,B2
0645,7,umgeben,surround,B2
0646,7,Umgebung,surrounding,B2
0647,7,Umfrage,survey,B2
0648,7,verdächtig,suspect,B2
0649,7,schwören,swear,B2
0650,7,fegen,sweep,B2
0651,7,schalten,switch,B2
0652,7,Sympathie,sympathy,B2
0653,7,Geschichte,tale,B2
0654,7,Tank,tank,B2
0655,7,Ziel,target,B2
0656,7,reißen1,tear1,B2
0657,7,reißen2,tear2,B2
0658,7,vorübergehend,temporary,B2
0659,7,Begriff,term,B2
0660,7,Therapie,therapy,B2
0661,7,drohen,threaten,B2
0662,7,daher,thus,B2
0663,7,Zeit,time,B2
0664,7,Titel,title,B2
0665,7,Ton,tone,B2
0666,7,hart,tough,B2
0667,7,Schiene,track,B2
0668,7,überweisen,transfer,B2
0669,7,verwandeln,transform,B2
0670,7,Übergang,transition,B2
0671,7,Versuch,trial,B2
0672,7,wind2,wind2,B2
0673,7,Reise,trip,B2
0674,7,tropisch,tropical,B2
0675,7,Problem,trouble,B2
0676,7,wirklich,truly,B2
0677,7,Vertrauen,trust,B2
0678,7,versuchen,try,B2
0679,7,Melodie,tune,B2
0680,7,Tunnel,tunnel,B2
0681,7,letztlich,ultimately,B2
0682,7,unbewusst,unconscious,B2
0683,7,unerwartet,unexpected,B2
0684,7,einzigartig,unique,B2
0685,7,Universum,universe,B2
0686,7,unbekannt,unknown,B2
0687,7,obere,upper,B2
0688,7,nach oben,upwards,B2
0689,7,urban,urban,B2
0690,7,Drang,urge,B2
0691,7,Wert,value,B2
0692,7,variieren,vary,B2
0693,7,groß,vast,B2
0694,7,Veranstaltungsort,venue,B2
0695,7,sehr,very,B2
0696,7,über,via,B2
0697,7,Sieg,victory,B2
0698,7,Gewalt,violence,B2
0699,7,virtuell,virtual,B2
0700,7,Vision,vision,B2
0701,8,visuell,visual,B2
0702,8,lebenswichtig,vital,B2
0703,8,Vitamin,vitamin,B2
0704,8,Volumen,volume,B2
0705,8,Lohn,wage,B2
0706,8,Weg,way,B2
0707,8,Schwäche,weakness,B2
0708,8,Reichtum,wealth,B2
0709,8,reich,wealthy,B2
0710,8,wohingegen,whereas,B2
0711,8,wo immer,wherever,B2
0712,8,flüstern,whisper,B2
0713,8,dem,whom,B2
0714,8,weit,widely,B2
0715,8,Tierwelt,wildlife,B2
0716,8,bereit,willing,B2
0717,8,Draht,wire,B2
0718,8,weise,wise,B2
0719,8,Zeuge,witness,B2
0720,8,schlechter,worse,B2
0721,8,am schlimmsten,worst,B2
0722,8,Wert,worth,B2
0723,8,Wunde,wound,B2
0724,8,wickeln,wrap,B2
0725,8,falsch,wrong,B2
0726,8,noch,yet,B2
0727,8,Zone,zone,B2
0728,8,absorbieren,absorb,B2
0729,8,Abstrakt,abstract,B2
0730,8,Akzent,accent,B2
0731,8,versehentlich,accidentally,B2
0732,8,unterbringen,accommodate,B2
0733,8,erreichen,accomplish,B2
0734,8,Buchhalter,accountant,B2
0735,8,Genauigkeit,accuracy,B2
0736,8,genau,accurately,B2
0737,8,Säure,acid,B2
0738,8,aktivieren,activate,B2
0739,8,Sucht,addiction,B2
0740,8,zusätzlich,additionally,B2
0741,8,angemessen,adequate,B2
0742,8,ausreichend,adequately,B2
0743,8,anpassen,adjust,B2
0744,8,erschwinglich,affordable,B2
0745,8,Landwirtschaft,agriculture,B2
0746,8,AIDS,AIDS,B2
0747,8,Ausländer,alien,B2
0748,8,neben,alongside,B2
0749,8,insgesamt,altogether,B2
0750,8,Krankenwagen,ambulance,B2
0751,8,amüsant,amusing,B2
0752,8,Analytiker,analyst,B2
0753,8,Vorfahr,ancestor,B2
0754,8,Animation,animation,B2
0755,8,jährlich,annually,B2
0756,8,antizipieren,anticipate,B2
0757,8,Angst,anxiety,B2
0758,8,Entschuldigung,apology,B2
0759,8,Antragsteller,applicant,B2
0760,8,angemessen,appropriately,B2
0761,8,Pfeil,arrow,B2
0762,8,Kunstwerk,artwork,B2
0763,8,beiseite,aside,B2
0764,8,Vermögenswert,asset,B2
0765,8,zuordnen,assign,B2
0766,8,Hilfe,assistance,B2
0767,8,Annahme,assumption,B2
0768,8,versichern,assure,B2
0769,8,erstaunlich,astonishing,B2
0770,8,Anhang,attachment,B2
0771,8,Auktion,auction,B2
0772,8,Audio-,audio,B2
0773,8,automatisch,automatic,B2
0774,8,automatisch,automatically,B2
0775,8,Bewusstsein,awareness,B2
0776,8,unangenehm,awkward,B2
0777,8,Abzeichen,badge,B2
0778,8,ausgewogen,balanced,B2
0779,8,Ballett,ballet,B2
0780,8,Ballon,balloon,B2
0781,8,kaum,barely,B2
0782,8,Schnäppchen,bargain,B2
0783,8,Keller,basement,B2
0784,8,Korb,basket,B2
0785,8,Schläger,bat,B2
0786,8,vorteilhaft,beneficial,B2
0787,8,neben,beside,B2
0788,8,außerdem,besides,B2
0789,8,Voreingenommenheit,bias,B2
0790,8,Gebot,bid,B2
0791,8,biologisch,biological,B2
0792,8,Decke,blanket,B2
0793,8,Schlag,blow,B2
0794,8,deutlich,bold,B2
0795,8,Bombardierung,bombing,B2
0796,8,Buchung,booking,B2
0797,8,Schub,boost,B2
0798,8,gebunden,bound,B2
0799,8,Ziegel,brick,B2
0800,8,knapp,briefly,B2
0801,9,Sender,broadcaster,B2
0802,9,breit,broadly,B2
0803,9,Insekt,bug,B2
0804,9,Kabine,cabin,B2
0805,9,Kanal,canal,B2
0806,9,Kerze,candle,B2
0807,9,Kohlenstoff,carbon,B2
0808,9,lässig,casual,B2
0809,9,Höhle,cave,B2
0810,9,Sicherheit,certainty,B2
0811,9,Zertifikat,certificate,B2
0812,9,herausfordernd,challenging,B2
0813,9,Meisterschaft,championship,B2
0814,9,charmant,charming,B2
0815,9,Verfolgungsjagd,chase,B2
0816,9,Wange,cheek,B2
0817,9,jubeln,cheer,B2
0818,9,Chor,choir,B2
0819,9,hacken,chop,B2
0820,9,Schaltung,circuit,B2
0821,9,Zivilisation,civilization,B2
0822,9,klären,clarify,B2
0823,9,klassifizieren,classify,B2
0824,9,Sachbearbeiter,clerk,B2
0825,9,Cliff,cliff,B2
0826,9,Klinik,clinic,B2
0827,9,Clip,clip,B2
0828,9,Zufall,coincidence,B2
0829,9,Kollektor,collector,B2
0830,9,Kolonie,colony,B2
0831,9,bunt,colourful,B2
0832,9,komisch,comic,B2
0833,9,Kommandant,commander,B2
0834,9,vergleichend,comparative,B2
0835,9,Fertigstellung,completion,B2
0836,9,komponieren,compose,B2
0837,9,Komponist,composer,B2
0838,9,Verbindung,compound,B2
